ElectionNumber	ElectionDate	ElectionName	CountyName	StatType	TotalRep	TotalDem	TotalOth	TotalNpa	GrandTotal	CompileDate
10480	08/28/2018	2018 Primary Election	Marion	Vote-by-Mail Provided (Not Yet Returned)	14,848	10,003	103	4,470	29,424	08/04/2018  7:11AM
10480	08/28/2018	2018 Primary Election	Martin	Vote-by-Mail Provided (Not Yet Returned)	9,852	5,087	92	2,571	17,602	08/04/2018  7:11AM
10480	08/28/2018	2018 Primary Election	Miami-Dade	Vote-by-Mail Provided (Not Yet Returned)	86,954	124,109	841	72,157	284,061	08/04/2018  7:11AM
10480	08/28/2018	2018 Primary Election	Monroe	Vote-by-Mail Provided (Not Yet Returned)	5,211	4,274	70	2,079	11,634	08/04/2018  7:11AM
10480	08/28/2018	2018 Primary Election	Nassau	Vote-by-Mail Provided (Not Yet Returned)	4,998	2,175	45	1,238	8,456	08/04/2018  7:11AM
10480	08/28/2018	2018 Primary Election	Okaloosa	Vote-by-Mail Provided (Not Yet Returned)	7,594	3,031	102	2,651	13,378	08/04/2018  7:11AM
10480	08/28/2018	2018 Primary Election	Okeechobee	Vote-by-Mail Provided (Not Yet Returned)	783	627	4	188	1,602	08/04/2018  7:11AM
10480	08/28/2018	2018 Primary Election	Orange	Vote-by-Mail Provided (Not Yet Returned)	35,084	60,543	548	27,707	123,882	08/04/2018  7:11AM
10480	08/28/2018	2018 Primary Election	Osceola	Vote-by-Mail Provided (Not Yet Returned)	12,950	21,646	163	12,120	46,879	08/04/2018  7:11AM
10480	08/28/2018	2018 Primary Election	Palm Beach	Vote-by-Mail Provided (Not Yet Returned)	39,485	74,880	636	27,779	142,780	08/04/2018  7:11AM
10480	08/28/2018	2018 Primary Election	Pasco	Vote-by-Mail Provided (Not Yet Returned)	21,891	19,548	288	11,721	53,448	08/04/2018  7:11AM
10480	08/28/2018	2018 Primary Election	Pinellas	Vote-by-Mail Provided (Not Yet Returned)	86,400	89,131	1,216	47,655	224,402	08/04/2018  7:11AM
10480	08/28/2018	2018 Primary Election	Polk	Vote-by-Mail Provided (Not Yet Returned)	33,749	29,513	325	14,925	78,512	08/04/2018  7:11AM
10480	08/28/2018	2018 Primary Election	Putnam	Vote-by-Mail Provided (Not Yet Returned)	1,606	1,829	11	425	3,871	08/04/2018  7:11AM
10480	08/28/2018	2018 Primary Election	Santa Rosa	Vote-by-Mail Provided (Not Yet Returned)	5,374	2,217	53	1,652	9,296	08/04/2018  1:03PM
10480	08/28/2018	2018 Primary Election	Sarasota	Vote-by-Mail Provided (Not Yet Returned)	22,232	22,329	188	8,410	53,159	08/04/2018  7:11AM
10480	08/28/2018	2018 Primary Election	Seminole	Vote-by-Mail Provided (Not Yet Returned)	21,634	18,694	274	11,226	51,828	08/04/2018  7:11AM
10480	08/28/2018	2018 Primary Election	St. Johns	Vote-by-Mail Provided (Not Yet Returned)	10,916	6,741	120	3,265	21,042	08/04/2018  7:11AM
10480	08/28/2018	2018 Primary Election	St. Lucie	Vote-by-Mail Provided (Not Yet Returned)	11,464	12,661	106	5,864	30,095	08/04/2018  7:11AM
10480	08/28/2018	2018 Primary Election	Sumter	Vote-by-Mail Provided (Not Yet Returned)	5,389	4,434	40	1,760	11,623	08/04/2018  7:11AM
10480	08/28/2018	2018 Primary Election	Suwannee	Vote-by-Mail Provided (Not Yet Returned)	1,638	1,280	0	53	2,971	08/04/2018  7:11AM
10480	08/28/2018	2018 Primary Election	Taylor	Vote-by-Mail Provided (Not Yet Returned)	733	1,087	5	93	1,918	08/04/2018  7:11AM
10480	08/28/2018	2018 Primary Election	Union	Vote-by-Mail Provided (Not Yet Returned)	155	247	0	8	410	08/04/2018  7:11AM
10480	08/28/2018	2018 Primary Election	Volusia	Vote-by-Mail Provided (Not Yet Returned)	25,630	23,126	357	13,888	63,001	08/04/2018  7:11AM
10480	08/28/2018	2018 Primary Election	Wakulla	Vote-by-Mail Provided (Not Yet Returned)	725	786	4	194	1,709	08/04/2018  7:11AM
10480	08/28/2018	2018 Primary Election	Walton	Vote-by-Mail Provided (Not Yet Returned)	1,869	635	0	0	2,504	08/04/2018  7:11AM
10480	08/28/2018	2018 Primary Election	Washington	Vote-by-Mail Provided (Not Yet Returned)	788	504	0	105	1,397	08/04/2018  7:11AM
